model,cv_pr_auc_mean,cv_pr_auc_std,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1,threshold,threshold_precision,threshold_recall,threshold_f1
logistic_balanced,0.05336566812035781,0.012393758431045307,0.06266601329382063,0.6294285714285714,0.059574468085106386,0.28,0.09824561403508772,0.6533460257003714,0.059574468085106386,0.28,0.09824561403508772
logistic_smote,0.053228908323251986,0.0173864554072447,0.04928915207250244,0.6207885714285715,0.045,0.54,0.08307692307692308,0.505657450271286,0.045,0.54,0.08307692307692308
xgboost_weighted,0.040015116779304596,0.01059432970772972,0.045092076516478286,0.5404342857142858,0.057291666666666664,0.22,0.09090909090909091,0.1989060342311859,0.057291666666666664,0.22,0.09090909090909091
random_forest_balanced,0.037542805133036115,0.005322029888275782,0.038200597390003976,0.57536,0.05154639175257732,0.2,0.08196721311475409,0.05333333333333334,0.05154639175257732,0.2,0.08196721311475409
